purchase_id,product_id,supplier_id,purchase_date,quantity,unit_price_usd,total_amount_usd,delivery_days,payment_term
212,7700,96,2024-04-07,466,530.19,247068.54,16,60
213,2780,26,2025-12-24,398,1768.67,703930.66,25,60
214,3326,85,2024-03-11,452,1697.48,767260.96,9,30
215,2322,74,2024-04-09,283,696.39,197078.37,9,45
216,4340,62,2025-02-02,120,537.95,64554.0,8,60
217,360,21,2024-08-24,365,1783.72,651057.8,27,90
218,9303,85,2023-05-16,485,1656.91,803601.35,19,45
219,5446,76,2023-01-24,376,150.66,56648.16,23,30
220,3636,70,2023-11-24,181,1506.62,272698.22,5,15
221,5086,10,2023-12-17,483,1814.91,876601.53,30,90
222,5777,7,2025-06-28,68,149.67,10177.56,8,45
223,8539,1,2025-12-17,63,39.71,2501.73,24,15
224,5275,12,2023-10-19,189,700.06,132311.34,6,45
225,4164,92,2024-08-16,237,1053.87,249767.19,30,30
226,5111,82,2025-06-03,352,1428.36,502782.72,1,60
227,2902,29,2023-06-19,390,1276.07,497667.3,23,15
228,6651,2,2024-10-31,63,1849.26,116503.38,7,30
229,2813,84,2025-08-02,273,338.91,92522.43,4,30
230,4013,72,2024-06-10,318,193.76,61615.68,16,60
231,4360,87,2023-06-11,461,1828.93,843136.73,26,30
232,8360,57,2023-07-17,101,1943.48,196291.48,21,90
233,367,99,2024-06-02,250,1097.19,274297.5,9,30
234,981,50,2025-06-21,182,653.91,119011.62,2,60
235,8677,73,2023-04-01,360,1124.47,404809.2,2,15
236,9480,51,2025-04-25,463,1432.08,663053.04,20,60
237,3818,96,2023-11-07,195,1869.3,364513.5,4,60
238,221,96,2024-05-23,428,795.8,340602.4,24,90
239,7085,70,2023-10-23,78,444.24,34650.72,26,45
240,6282,22,2024-04-09,177,1659.45,293722.65,22,15
241,5443,12,2025-07-19,56,658.17,36857.52,28,15
242,9799,34,2023-01-31,452,940.22,424979.44,4,30
243,9890,1,2025-06-18,488,1722.67,840662.96,12,45
244,8142,35,2025-03-03,298,1111.06,331095.88,21,15
245,6532,100,2023-07-01,201,723.52,145427.52,6,90
246,3595,86,2025-05-11,410,614.29,251858.9,19,60
247,2679,28,2023-06-30,431,389.04,167676.24,22,30
248,6891,72,2023-08-07,387,1177.91,455851.17,6,30
249,7228,10,2023-11-21,69,1899.58,131071.02,19,45
250,3308,83,2023-10-16,65,1986.23,129104.95,5,60
251,5046,39,2023-09-24,85,544.11,46249.35,2,90
252,5349,15,2023-02-06,287,197.26,56613.62,22,30
253,7036,13,2024-10-05,247,1064.39,262904.33,3,60
254,5753,36,2024-01-12,113,1876.96,212096.48,27,15
255,9212,38,2024-07-17,286,1647.38,471150.68,30,15
256,3142,14,2024-11-01,225,241.82,54409.5,2,90
257,3134,12,2024-12-10,131,537.08,70357.48,29,15
258,6617,44,2023-07-25,168,341.66,57398.88,20,45
259,5931,49,2023-06-17,249,306.83,76400.67,11,45
260,9818,17,2025-11-04,404,884.46,357321.84,11,90
261,4507,94,2025-04-19,229,1655.83,379185.07,20,15
262,6176,2,2023-10-27,173,1415.0,244795.0,8,90
263,3772,95,2025-12-28,26,1787.18,46466.68,2,30
264,1707,14,2024-01-17,102,1371.77,139920.54,18,45
265,9317,2,2023-10-13,333,1158.72,385853.76,15,60
266,145,20,2024-08-10,252,493.4,124336.8,27,30
267,7115,54,2024-03-31,220,1179.72,259538.4,16,60
268,9467,75,2025-05-18,377,1015.79,382952.83,12,60
269,1366,82,2025-01-03,108,382.17,41274.36,20,60
270,5484,44,2025-06-10,500,1005.58,502790.0,5,90
271,2240,76,2024-01-04,467,501.46,234181.82,23,60
272,2394,57,2025-02-14,270,1433.55,387058.5,7,60
273,1376,87,2023-06-16,219,540.2,118303.8,30,90
274,7836,40,2023-03-05,454,725.41,329336.14,8,90
275,3460,47,2024-05-03,110,287.88,31666.8,5,15
276,3929,60,2024-08-27,96,748.34,71840.64,17,15
277,1908,80,2023-03-18,406,1448.76,588196.56,8,30
278,3859,19,2024-06-09,127,572.15,72663.05,18,90
279,3539,21,2024-07-28,33,1105.65,36486.45,3,30
280,4305,21,2024-08-09,286,1803.35,515758.1,10,30
281,8908,94,2024-12-20,132,1160.47,153182.04,26,15
282,9688,69,2023-06-24,374,230.39,86165.86,25,15
283,6424,73,2023-09-25,172,1787.45,307441.4,29,60
284,1552,91,2025-03-06,250,628.82,157205.0,12,60
285,2532,78,2025-08-22,385,961.58,370208.3,11,90
286,8123,3,2024-12-22,169,120.76,20408.44,7,15
287,3316,60,2024-01-25,119,1099.6,130852.4,22,45
288,9118,16,2025-04-07,222,1460.6,324253.2,14,45
289,4181,22,2025-04-18,34,295.29,10039.86,8,60
290,1850,85,2024-05-03,492,1146.87,564260.04,30,15
291,7895,65,2025-09-24,448,1265.38,566890.24,13,30
292,7869,52,2025-10-13,310,618.11,191614.1,30,30
293,6748,49,2023-01-12,374,1945.68,727684.32,29,90
294,1067,58,2023-06-19,407,1365.32,555685.24,7,60
295,8937,40,2023-08-03,240,1415.36,339686.4,5,30
296,3239,13,2023-10-30,112,1210.03,135523.36,29,60
297,1835,78,2024-08-03,247,469.54,115976.38,17,30
298,2826,62,2023-11-01,92,1351.34,124323.28,21,45
299,8248,47,2023-08-20,102,653.82,66689.64,13,30
300,1177,69,2025-03-26,465,1280.16,595274.4,22,15
301,3380,93,2023-12-18,327,1152.54,376880.58,15,60
302,7923,43,2025-01-01,325,1212.3,393997.5,9,60
303,6704,15,2023-07-24,105,1200.55,126057.75,12,45
304,3955,3,2023-05-25,494,1203.45,594504.3,22,45
305,7877,33,2024-03-11,126,400.8,50500.8,9,90
306,4701,73,2023-11-29,73,1197.7,87432.1,13,45
307,7107,32,2023-02-21,399,352.37,140595.63,29,60
308,7857,11,2023-02-20,362,1623.05,587544.1,1,60
309,2031,57,2025-06-04,216,1723.67,372312.72,15,60
310,9080,95,2025-12-11,341,1873.35,638812.35,25,90
311,5922,75,2025-07-19,236,624.21,147313.56,8,45
312,7243,3,2025-08-29,59,663.18,39127.62,27,45
313,5054,66,2023-05-02,437,83.13,36327.81,19,90
314,8300,24,2023-07-16,112,593.37,66457.44,17,60
315,2696,1,2025-05-15,86,859.33,73902.38,28,15
316,700,70,2024-02-25,287,1825.09,523800.83,8,15
317,2144,37,2025-04-01,338,1511.74,510968.12,13,60
318,1673,94,2023-11-05,423,58.35,24682.05,10,30
319,959,27,2024-05-06,483,1073.45,518476.35,22,45
320,8285,66,2024-06-22,266,282.83,75232.78,6,15
321,1872,27,2025-03-27,13,561.52,7299.76,1,45
322,7114,30,2025-01-10,62,1217.19,75465.78,27,45
323,5792,80,2025-05-09,410,629.32,258021.2,20,15
324,2638,65,2023-05-26,26,258.94,6732.44,13,60
325,5072,18,2023-06-19,298,560.26,166957.48,3,90
326,7406,80,2024-05-17,215,309.15,66467.25,23,90
327,4016,12,2023-06-04,199,1233.24,245414.76,9,45
328,3984,43,2024-08-14,116,679.91,78869.56,19,15
329,2507,12,2025-04-20,45,1391.92,62636.4,22,90
330,3373,34,2025-05-31,34,1074.98,36549.32,22,15
331,2375,76,2025-06-14,44,1241.91,54644.04,11,60
332,7553,24,2025-03-23,259,910.86,235912.74,2,45
333,6169,68,2023-06-07,49,1102.15,54005.35,19,15
334,4834,85,2024-06-07,337,1668.29,562213.73,4,90
335,6895,13,2023-07-23,446,970.57,432874.22,16,30
336,6728,82,2024-10-31,413,103.95,42931.35,7,15
337,2347,53,2025-04-18,73,632.11,46144.03,9,90
338,8663,34,2025-02-04,57,689.77,39316.89,12,15
339,1667,72,2024-03-17,126,976.9,123089.4,10,15
340,8661,96,2023-10-10,78,1941.47,151434.66,17,45
341,2168,94,2024-08-18,219,796.87,174514.53,11,45
342,2066,27,2023-11-29,382,1071.9,409465.8,1,90
343,8067,39,2024-05-17,168,629.3,105722.4,26,15
344,16,74,2023-11-28,221,1121.82,247922.22,13,90
345,1624,83,2025-02-25,202,1408.75,284567.5,16,60
346,1150,28,2024-05-02,90,1448.86,130397.4,27,45
347,8623,36,2023-07-28,197,909.26,179124.22,19,45
348,5390,74,2023-03-15,44,1685.24,74150.56,18,45
349,2850,86,2025-09-17,412,633.14,260853.68,9,45
350,382,10,2025-08-16,221,1945.26,429902.46,21,45
351,6021,66,2023-03-24,123,1833.57,225529.11,11,45
352,392,40,2025-11-21,59,1585.7,93556.3,4,45
353,3879,28,2023-10-28,274,989.05,270999.7,20,45
354,7398,96,2024-12-31,335,1065.51,356945.85,15,90
355,6087,95,2023-06-17,58,105.26,6105.08,8,15
356,8881,77,2025-01-10,7,1531.86,10723.02,30,15
357,9309,92,2025-09-26,179,371.81,66553.99,20,30
358,1144,22,2023-04-20,98,374.88,36738.24,12,45
359,5773,4,2023-06-16,136,884.73,120323.28,6,15
360,608,72,2024-12-20,195,776.12,151343.4,21,45
361,1116,28,2024-03-28,245,578.18,141654.1,20,45
362,9888,30,2023-04-23,247,1349.14,333237.58,12,90
363,5860,30,2024-12-01,398,176.5,70247.0,12,60
364,3162,93,2023-09-11,12,530.49,6365.88,21,30
365,5049,44,2024-07-02,368,291.51,107275.68,24,15
366,672,93,2025-07-15,35,170.33,5961.55,6,60
367,8266,100,2023-08-20,46,263.84,12136.64,15,90
368,2297,37,2024-02-27,488,1363.54,665407.52,5,30
369,3086,72,2025-01-18,262,1865.63,488795.06,7,45
370,9230,68,2023-04-18,500,1159.77,579885.0,13,60
371,1074,8,2025-04-01,261,1837.04,479467.44,30,30
372,836,85,2023-01-10,284,1647.01,467750.84,13,90
373,8434,66,2025-04-12,144,209.28,30136.32,11,15
374,6907,18,2023-04-25,39,1762.59,68741.01,21,15
375,3263,63,2024-08-14,422,1204.67,508370.74,3,60
376,506,5,2023-08-17,221,97.93,21642.53,1,60
377,4709,99,2025-03-07,176,578.12,101749.12,2,45
378,5841,100,2024-05-14,388,529.86,205585.68,9,45
379,2664,3,2025-08-24,27,736.56,19887.12,1,60
380,7170,92,2024-07-21,256,1444.46,369781.76,22,90
381,378,55,2025-12-19,66,507.92,33522.72,25,60
382,4430,28,2023-02-24,220,1470.94,323606.8,23,30
383,1093,67,2023-02-08,163,316.68,51618.84,13,45
384,5680,75,2024-03-18,467,910.25,425086.75,10,30
385,6029,7,2023-03-17,252,413.1,104101.2,17,60
386,3815,18,2023-06-11,123,349.15,42945.45,28,60
387,2540,9,2025-06-12,325,1780.11,578535.75,27,45
388,9883,57,2025-06-18,301,453.55,136518.55,29,60
389,7908,18,2025-08-16,320,1096.58,350905.6,26,60
390,4561,33,2023-03-20,207,319.61,66159.27,9,15
391,3938,28,2024-06-02,439,1931.12,847761.68,6,60
392,8246,95,2024-06-30,8,1899.46,15195.68,24,60
393,169,54,2025-11-26,218,1477.32,322055.76,8,45
394,3391,88,2023-07-28,65,405.77,26375.05,19,60
395,4617,51,2024-10-26,184,1945.24,357924.16,18,60
396,7152,63,2023-07-12,467,1600.66,747508.22,6,15
397,6474,54,2025-09-12,241,1847.62,445276.42,15,60
398,8258,33,2024-06-21,409,1590.3,650432.7,17,90
399,7607,100,2025-02-08,267,1012.15,270244.05,6,90
400,7502,56,2023-05-13,59,793.65,46825.35,16,90
401,5860,100,2023-12-31,389,1340.03,521271.67,21,60
402,8944,25,2023-10-29,156,1963.49,306304.44,3,90
403,7578,2,2023-11-04,261,745.9,194679.9,6,90
404,6648,64,2025-06-11,31,1804.17,55929.27,3,90
405,6237,82,2024-05-01,362,1294.5,468609.0,27,30
406,2649,59,2024-05-11,409,939.07,384079.63,8,60
407,795,82,2023-05-13,322,160.7,51745.4,16,60
408,6613,91,2025-01-29,150,1907.07,286060.5,15,15
409,1095,31,2025-12-01,141,1380.33,194626.53,20,90
410,723,11,2025-01-07,28,1364.38,38202.64,23,60
411,9674,84,2025-03-25,191,1895.53,362046.23,23,45
412,4815,86,2025-12-31,305,1255.0,382775.0,25,45
413,7074,96,2024-04-26,486,351.06,170615.16,29,90
414,5694,44,2025-07-04,153,1066.73,163209.69,25,60
415,2539,27,2025-10-08,20,1248.49,24969.8,26,30
416,338,52,2025-05-05,207,847.27,175384.89,15,15
417,9853,45,2024-09-22,472,1625.9,767424.8,15,45
418,5947,72,2023-08-10,352,222.96,78481.92,29,60
419,232,53,2024-09-30,118,1936.27,228479.86,19,15
420,3409,79,2025-07-30,441,1962.35,865396.35,29,60
421,383,48,2023-08-12,341,1104.61,376672.01,16,90
422,8817,57,2025-11-30,483,1523.64,735918.12,8,45
423,237,13,2023-11-23,83,1070.47,88849.01,27,30
424,3419,50,2024-05-07,431,1819.09,784027.79,8,30
425,1667,77,2025-06-02,304,975.52,296558.08,24,15
426,48,77,2023-06-25,414,718.73,297554.22,17,45
427,4674,11,2023-02-20,82,917.39,75225.98,6,45
428,320,42,2023-07-31,396,297.99,118004.04,25,60
429,9994,68,2023-11-06,458,1373.29,628966.82,7,30
430,2089,60,2025-07-24,187,718.29,134320.23,13,15
431,7155,54,2024-01-12,450,1140.69,513310.5,5,90
432,9027,89,2024-06-30,197,235.57,46407.29,9,90
433,2467,5,2024-06-23,496,929.62,461091.52,13,60
434,756,72,2024-09-09,317,514.4,163064.8,9,90
435,8513,19,2025-07-08,89,1477.13,131464.57,30,15
436,7982,64,2023-11-01,332,1798.56,597121.92,30,30
437,4963,38,2025-01-22,437,1626.84,710929.08,7,30
438,9077,59,2025-10-12,135,41.59,5614.65,6,30
439,3364,41,2025-03-12,49,1830.98,89718.02,2,60
440,9043,55,2025-05-16,302,1041.83,314632.66,9,15
441,9459,7,2024-03-07,45,835.2,37584.0,23,15
442,1566,31,2025-06-03,348,1455.76,506604.48,5,60
443,7178,2,2024-11-26,335,333.65,111772.75,2,30
444,1252,11,2023-09-26,348,646.31,224915.88,1,60
445,8409,86,2025-04-12,435,808.35,351632.25,4,90
446,7254,26,2025-07-04,240,396.68,95203.2,14,60
447,4971,38,2025-08-28,97,321.01,31137.97,23,90
448,1213,60,2025-09-25,328,1935.18,634739.04,8,30
449,5616,5,2024-06-14,93,972.67,90458.31,13,45
450,9217,57,2023-07-21,479,284.3,136179.7,2,60
451,7554,57,2025-01-03,146,206.93,30211.78,9,90
452,3942,71,2025-09-06,282,785.71,221570.22,1,15
453,4628,10,2025-07-15,89,1888.02,168033.78,14,45
454,5606,1,2024-03-28,308,1223.73,376908.84,8,30
455,2688,50,2024-03-22,451,866.94,390989.94,27,90
456,9982,46,2025-03-24,65,1610.09,104655.85,17,15
457,2626,31,2024-06-12,110,267.04,29374.4,15,60
458,1537,1,2025-12-21,139,187.71,26091.69,20,90
459,7617,28,2023-01-30,232,749.11,173793.52,22,90
460,3249,75,2023-02-06,404,1142.68,461642.72,13,60
461,573,31,2023-06-01,186,1865.83,347044.38,30,30
462,8392,67,2024-03-21,290,938.21,272080.9,13,45
463,4056,37,2025-11-17,172,1631.85,280678.2,1,90
464,6393,26,2024-02-19,222,1407.84,312540.48,20,15
465,9783,28,2025-04-06,138,312.22,43086.36,22,15
466,3390,6,2024-11-07,496,1563.85,775669.6,11,90
467,3886,43,2025-01-31,221,614.29,135758.09,17,60
468,2863,4,2025-04-15,38,1046.14,39753.32,25,90
469,4376,82,2025-02-28,81,32.69,2647.89,13,45
470,318,61,2024-05-06,214,1250.43,267592.02,25,45
471,8028,31,2024-08-27,344,623.12,214353.28,17,30
472,8642,9,2025-10-20,341,1364.55,465311.55,4,45
